obj|statement|label|book|page
f4a56982-7750-4100-83dd-b159d63da61f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
f59a3c87-e617-4d78-b6de-7c844ff69d43|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
f8f92071-fcb4-4cf6-96d2-fcd341490178|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
f937e4a2-286d-4065-8c5c-0461495ec4d1|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
fb02f50f-8aba-493f-bda5-ee706c67dbdc|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
fb07449f-40a7-47a0-a60c-3775daa8df72|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
fcc4a6e6-e0fc-4152-80be-6e945e8f3462|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
fd30f182-a486-474f-adff-c10acde05026|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
fd3f06f5-f550-403e-95d3-bed59bb44f3b|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
2392ba20-fc5a-4921-8f5d-040c50ecea03|c30c01b2-9c7e-45ec-833b-f734e1000018|Hayes 54|Hayes (1972)|p.82-83
a635d20a-d1a4-4e5d-a2b2-524f5a6d416e|c30c01b2-9c7e-45ec-833b-f734e1000018|Hayes 54|Hayes (1972)|p.82-83
abbbd296-018b-4094-9131-aaf25280825b|c30c01b2-9c7e-45ec-833b-f734e1000018|Hayes 54|Hayes (1972)|p.82-83
c2f5bec0-1bee-49a1-b68f-d805d9c4b3b5|c30c01b2-9c7e-45ec-833b-f734e1000018|Hayes 54|Hayes (1972)|p.82-83
